status	repo	branch
ok	eml-sr	claude/implement-eml-16-api-2d
ok	eml-sr	claude/implement-eml-18-curriculum-mv
ok	eml-sr	claude/option-b-linear-coeffs
ok	eml-sr	claude/review-eml-sr-issues-5o9F2
ok	remax	claude/implement-issue-5-EZCfD
ok	remax	claude/implement-issue-15-rgjtW
ok	remax	docs/jina-v5-gor-note
ok	remax	docs/pipeline-three-gigs
ok	remax	feat/corpus-auto-center
ok	remax	feat/jina-v5-nano-bench
ok	remax	feat/native-scan
ok	remax	feat/stacked-quantizer
ok	remax	issue-2-signbit-quantizer
ok	muninns-inbox	manifests/muninn-bsky-card-v0.3
ok	muninns-inbox	manifests/muninn-verify-patch-v0.3
ok	jina-v5-nano-mirror	feat/onnx-export-issue-74
ok	muninn-utilities	claude/fix-issue-15-FQFvk
ok	muninn-utilities	claude/issue-24-boot-sentinel
ok	muninn-utilities	feat/claude-blog-watcher
ok	muninn-utilities	feat/recall-query-alias
ok	muninn-utilities	feat/validate-meta-entities
ok	muninn-utilities	fix/manifest-audit-cleanup
ok	muninn-utilities	fix/zeitgeist-cadence-hard-floor
ok	claude-tangled-spoke	claude/claude-md-stop-narrating-constraints
ok	claude-tangled-spoke	claude/issue-repo-canonical-did
ok	claude-tangled-spoke	claude/readme-template-instructions
ok	claude-tangled-spoke	claude/test-complex-repo-4Yv73
ok	claude-tangled-spoke	claude/test-repo-ou7QE
ok	claude-tangled-spoke	claude/test-tg-tangled-spoke-60kkQ
ok	claude-tangled-spoke	claude/verify-git-clone-ssh-sf1vi
ok	claude-jjithub-and-spoke	claude/implement-jj-spoke-dE5uj
ok	claude-jjithub-and-spoke	claude/test-jj-ghi-tools-di9NX
ok	claude-jjithub-and-spoke	feat/ghi-cli
ok	claude-github-and-spoke	claude/check-latest-commit-Ptwn1
ok	claude-github-and-spoke	claude/check-version-info-lASab
ok	claude-workspace-fuse	claude/antigravity-cli-container-fe6Dh
ok	claude-workspace-fuse	claude/migrate-to-layered-arch-a4f0ea8f
ok	claude-workspace-fuse	claude/muninn-memfs
ok	claude-workspace-fuse	muninn/claude-md-density-and-time-grounding
ok	remax_kb	docs/muninn-kb-live-demo
ok	install-manifest-spec	examples/muninn-flowing-v0.3
ok	install-manifest-spec	examples/muninn-perch-publish-v0.3
ok	install-manifest-spec	examples/muninn-verify-patch-v0.3
ok	mojo-bm25s	claude/implement-issue-4-HHrJi
ok	mojo-bm25s	claude/issue-5-interop-shim
ok	mojo-bm25s	claude/issue-19-simd-scatter
ok	mojo-bm25s	claude/issue-26-persistence
ok	mojo-bm25s	claude/issue-27-retriever
ok	mojo-bm25s	claude/issue-33-bmw
ok	mojo-bm25s	claude/issue-35-impact-ordered
ok	mojo-bm25s	claude/parallelize-retrieve-batch
ok	fusemojo	claude/add-fusemojo-tests-Jy1Xp
ok	fusemojo	claude/add-performance-benchmark
ok	tree-sitter-mojo	claude/grammar-raises-and-header
ok	tree-sitter-mojo	claude/issue-38-infer-only-and-kwargs
ok	tree-sitter-mojo	claude/raises-clause-tdd
ok	tree-sitter-mojo	claude/trait-declarations
ok	tree-sitter-mojo	claude/v1.0-corpus-expansion
ok	tree-sitter-mojo	feature/raises-clause
ok	thinking-traces-eval	claude/test-thinking-traces-eval-3o2mZ
ok	llm-as-computer	claude/implement-issue-75-o1H1V
ok	llm-as-computer	claude/implement-issue-80-3V3J9
ok	llm-as-computer	claude/implement-issue-89-rCJcj
ok	llm-as-computer	claude/issue-94-poly-compiler
ok	llm-as-computer	compare-transformer-vm
ok	llm-as-computer	jules-1484464808880975701-3531de8e
ok	transformer-vm	claude/implement-issue-6-8FAeS
ok	transformer-vm	claude/implement-issue-8-0KZvQ
ok	transformer-vm	claude/implement-transformer-vm-issue-Rtkp8
ok	transformer-vm	claude/issue-4-hull-head-profiling
ok	lemur-numpy	optimize-lemur-numpy-17101496289949959931
ok	muninn-backup	claude/install-all-skills-ZtThT
