k=5 type 74: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, 0, 0], [0, 1, 0, 0, 0], [1, -1, 1, -1, 0], [1, 0, 0, 0, 0])
k=5 type 75: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 1, -1], [1, 0, 0, 1, -1])
k=5 type 76: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 1, -1], [1, 0, 0, 1, -1])
k=5 type 77: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 1, -1, 0, 0], [0, 1, 0, 0, 0], [1, 0, -1, 0, 1], [1, 0, 0, -1, 1])
k=5 type 78: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, 0, 0, 0], [1, -1, -1, 0, 0], [1, 0, 0, 0, 0])
k=5 type 79: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 1, 0], [1, -1, 0, 0, -1], [1, 0, 0, 1, -1])
k=5 type 80: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 81: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, 0, 0], [0, 1, -1, 1, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 82: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 1, -1], [1, 0, 0, 1, -1])
k=5 type 83: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 1, -1, 0], [1, 0, 1, -1, 0])
k=5 type 84: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 1, -1, 0, 0], [0, 1, 0, 0, 0], [1, 0, -1, 1, 0], [1, 0, 0, 0, 0])
k=5 type 85: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, 0, 0, 0], [1, -1, 1, -1, 1], [1, 0, 0, -1, 1])
k=5 type 86: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, 0, 0], [0, 1, -1, 1, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 87: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 1, -1], [1, 0, 0, 1, -1])
k=5 type 88: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, 0, 0], [0, 1, -1, 1, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 89: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 1, -1, 0, 0], [0, 1, 0, 0, 0], [1, 0, -1, 1, 0], [1, 0, 0, 0, 0])
k=5 type 90: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 1, -1, 0, 0], [0, 1, 0, 0, 0], [1, 0, -1, 1, 0], [1, 0, 0, 0, 0])
k=5 type 91: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 1, 0, -1], [1, 0, 1, 0, -1])
k=5 type 92: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 1, -1, 1], [1, 0, 1, -1, 1])
k=5 type 93: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, 0, 0, 0], [1, -1, 1, 0, 0], [1, 0, 0, 0, 0])
k=5 type 94: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, 0, 0], [0, 1, -1, 1, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 95: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, 0, 0, 0], [1, -1, 0, 1, 0], [1, 0, -1, 1, 0])
k=5 type 96: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 1, -1, 1], [1, 0, 1, -1, 1])
k=5 type 97: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 1, -1, 0], [1, 0, 1, -1, 0])
k=5 type 98: YES ([0, 0, 0, 0, 1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, -1, 1], [1, 0, 0, 0, 0])
k=5 type 99: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, 0, 0], [0, 1, -1, 1, 0], [1, -1, 1, -1, 0], [1, 0, 1, -1, 0])
k=5 type 100: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 1, 0], [1, -1, 0, -1, 0], [1, 0, 0, 0, 0])
k=5 type 101: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 1, -1], [1, 0, 0, 1, -1])
k=5 type 102: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, 0, 0], [0, 1, -1, 1, -1], [1, -1, 0, 0, 1], [1, 0, 0, 0, 0])
k=5 type 103: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, 0, 0, 0], [1, -1, 1, 0, 0], [1, 0, 0, 0, 0])
k=5 type 104: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 1, -1], [1, 0, 0, 1, -1])
k=5 type 105: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 1, 0, -1], [1, 0, 1, 0, -1])
k=5 type 106: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, 0, 0, 0], [1, -1, 1, 0, 0], [1, 0, 0, 0, 0])
k=5 type 107: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 1, 0], [1, -1, 0, 0, 0], [1, 0, 0, 1, 0])
